"data";"tipo";"num_convenio";"cod_tci";"uf";"secretaria";"campo";"valor_anterior";"valor_atual"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"dte_aio";"";"2026-04-06"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"dte_inicio_obra_mcid";"";"2026-04-06"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"ultima_data_relevante";"2026-01-06";"2026-04-06"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"fase_atual";"VRPL";"OBRA INICIADA"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"dias_vrpl_ate_aio";"";"90"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"dias_aio_ate_inicio_obra";"";"0"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"prazo_inicio_obra";"";"2026-04-20"
"2026-04-08";"Alterado";"967091";"1-1991722";"PA";"SNSA";"status_inicio_obra";"";"Iniciada no prazo"
"2026-04-08";"Alterado";"967096";"1-1991498";"PA";"SNSA";"dte_vrpl";"2026-02-13";""
"2026-04-08";"Alterado";"967096";"1-1991498";"PA";"SNSA";"ultima_data_relevante";"2026-02-13";"2026-01-09"
"2026-04-08";"Alterado";"967096";"1-1991498";"PA";"SNSA";"fase_atual";"VRPL";"HOMOLOGACAO"
"2026-04-08";"Alterado";"967096";"1-1991498";"PA";"SNSA";"dias_homologacao_ate_vrpl";"35";""
"2026-04-08";"Alterado";"967126";"1-1990765";"PA";"SNSA";"dte_vrpl";"2026-02-13";""
"2026-04-08";"Alterado";"967126";"1-1990765";"PA";"SNSA";"ultima_data_relevante";"2026-02-13";"2026-01-09"
"2026-04-08";"Alterado";"967126";"1-1990765";"PA";"SNSA";"fase_atual";"VRPL";"HOMOLOGACAO"
"2026-04-08";"Alterado";"967126";"1-1990765";"PA";"SNSA";"dias_homologacao_ate_vrpl";"35";""
"2026-04-08";"Alterado";"968195";"1-2013014";"PR";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968197";"1-2013334";"PA";"SNSA";"dte_primeira_data_lae";"";"2026-04-06"
"2026-04-08";"Alterado";"968197";"1-2013334";"PA";"SNSA";"ultima_data_relevante";"";"2026-04-06"
"2026-04-08";"Alterado";"968197";"1-2013334";"PA";"SNSA";"fase_atual";"SUSPENSIVA";"LAE"
"2026-04-08";"Alterado";"968201";"1-2012199";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Análise iniciada"
"2026-04-08";"Alterado";"968207";"1-2013328";"MG";"SNSA";"situacao_da_analise_suspensiva";"Análise iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968224";"1-2015968";"RS";"SNSA";"situacao_da_analise_suspensiva";"Análise não iniciada";"Analisada com pendências"
"2026-04-08";"Alterado";"968248";"1-2013782";"CE";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise não iniciada"
"2026-04-08";"Alterado";"968252";"1-2011972";"RS";"SNSA";"situacao_da_analise_suspensiva";"Analisada com pendências";"Análise iniciada"
