"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"entrou";"novo_registro";"novo_registro";"1S-4573";"1S-4573";"vlr_repasse_tci";"";"0.0"
"entrou";"novo_registro";"novo_registro";"6-54363";"6-54363";"vlr_repasse_tci";"";"0.0"
"entrou";"novo_registro";"novo_registro";"996472";"1-2106739";"vlr_repasse_tci";"";"2500000.0"
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"situacao_da_analise_suspensiva_pbi";"Analisada e aceita";"Suspensiva retirada"
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"dte_retirada_suspensiva_tgov";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964485";"1-1984603";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"964485";"1-1984603";"fase_atual_calc";"SUSPENSIVA";"SUSPENSIVA RETIRADA"
"alterado";"dados_e_derivados";"derivado_tempo";"964485";"1-1984603";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"situacao_da_analise_suspensiva_dmp";"Analisada e aceita";"Suspensiva retirada"
"alterado";"dados_e_derivados";"derivado_regra";"964485";"1-1984603";"situacao_contrato_dmp";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"motivo_suspensiva_retirada_dmp";"";"situacao_da_analise_suspensiva_pbi"
"alterado";"dados_e_derivados";"dados_origem";"964495";"1-1991760";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964495";"1-1991760";"situacao_da_analise_suspensiva_pbi";"Analisada e aceita";"Suspensiva retirada"
"alterado";"dados_e_derivados";"dados_origem";"964495";"1-1991760";"dte_retirada_suspensiva_tgov";"";"2026-04-29"
