"tipo_alteracao";"categoria_alteracao";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"derivados_tempo";"972135";"1-2016515";"prazo_pub_licitacao_calc";"2026-07-15";""
"alterado";"derivados_tempo";"972135";"1-2016515";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972135";"1-2016515";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"972136";"1-2016527";"prazo_pub_licitacao_calc";"2025-08-09";""
"alterado";"derivados_tempo";"972136";"1-2016527";"prazo_homolog_licitacao_calc";"2025-10-13";"2026-06-01"
"alterado";"derivados_tempo";"972136";"1-2016527";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972136";"1-2016527";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972137";"1-2020560";"prazo_pub_licitacao_calc";"2026-03-13";""
"alterado";"derivados_tempo";"972137";"1-2020560";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972137";"1-2020560";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972138";"1-2016960";"prazo_pub_licitacao_calc";"2026-03-26";""
"alterado";"derivados_tempo";"972138";"1-2016960";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972138";"1-2016960";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972139";"1-2013637";"prazo_pub_licitacao_calc";"2026-03-11";""
"alterado";"derivados_tempo";"972139";"1-2013637";"prazo_homolog_licitacao_calc";"2026-03-12";"2026-06-01"
"alterado";"derivados_tempo";"972139";"1-2013637";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972139";"1-2013637";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972140";"1-2012918";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972141";"1-2016263";"prazo_pub_licitacao_calc";"2026-07-21";""
"alterado";"derivados_tempo";"972141";"1-2016263";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972141";"1-2016263";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"972142";"1-2016709";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972143";"1-2020568";"prazo_pub_licitacao_calc";"2026-03-13";""
"alterado";"derivados_tempo";"972143";"1-2020568";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972143";"1-2020568";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972144";"1-2020665";"prazo_pub_licitacao_calc";"2026-03-25";""
"alterado";"derivados_tempo";"972144";"1-2020665";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972144";"1-2020665";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972145";"1-2016338";"prazo_pub_licitacao_calc";"2025-08-14";""
"alterado";"derivados_tempo";"972145";"1-2016338";"prazo_homolog_licitacao_calc";"2026-04-10";"2026-06-01"
"alterado";"derivados_tempo";"972145";"1-2016338";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972145";"1-2016338";"status_homolog_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972146";"1-2016904";"prazo_pub_licitacao_calc";"2025-11-29";""
"alterado";"derivados_tempo";"972146";"1-2016904";"prazo_homolog_licitacao_calc";"2024-02-14";"2026-06-01"
"alterado";"derivados_tempo";"972146";"1-2016904";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972146";"1-2016904";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972147";"1-2019560";"prazo_pub_licitacao_calc";"2026-01-21";""
"alterado";"derivados_tempo";"972147";"1-2019560";"prazo_homolog_licitacao_calc";"2026-06-05";"2026-06-01"
"alterado";"derivados_tempo";"972147";"1-2019560";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972147";"1-2019560";"status_homolog_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"972148";"1-2016299";"prazo_pub_licitacao_calc";"2025-12-27";""
"alterado";"derivados_tempo";"972148";"1-2016299";"prazo_homolog_licitacao_calc";"2026-04-04";"2026-06-01"
"alterado";"derivados_tempo";"972148";"1-2016299";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972148";"1-2016299";"status_homolog_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972149";"1-2016937";"prazo_pub_licitacao_calc";"2026-01-16";""
"alterado";"derivados_tempo";"972149";"1-2016937";"prazo_homolog_licitacao_calc";"2026-05-19";"2026-06-01"
"alterado";"derivados_tempo";"972149";"1-2016937";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972149";"1-2016937";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972150";"1-2015400";"prazo_pub_licitacao_calc";"2025-12-20";""
"alterado";"derivados_tempo";"972150";"1-2015400";"prazo_homolog_licitacao_calc";"2025-08-28";"2026-06-01"
"alterado";"derivados_tempo";"972150";"1-2015400";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972150";"1-2015400";"status_homolog_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972151";"1-2015409";"prazo_pub_licitacao_calc";"2025-12-24";""
"alterado";"derivados_tempo";"972151";"1-2015409";"prazo_homolog_licitacao_calc";"2025-08-28";"2026-06-01"
"alterado";"derivados_tempo";"972151";"1-2015409";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972151";"1-2015409";"status_homolog_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972152";"1-2016667";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972153";"1-2016552";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972154";"1-2012458";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972155";"1-2012545";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972156";"1-2019481";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972157";"1-2016789";"prazo_pub_licitacao_calc";"2026-03-17";""
"alterado";"derivados_tempo";"972157";"1-2016789";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972157";"1-2016789";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972158";"1-2012505";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972159";"1-2016893";"prazo_pub_licitacao_calc";"2026-03-14";""
"alterado";"derivados_tempo";"972159";"1-2016893";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972159";"1-2016893";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972160";"1-2016161";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972161";"1-2017106";"prazo_pub_licitacao_calc";"2026-01-01";""
"alterado";"derivados_tempo";"972161";"1-2017106";"prazo_homolog_licitacao_calc";"2025-05-17";"2026-06-01"
"alterado";"derivados_tempo";"972161";"1-2017106";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972161";"1-2017106";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972263";"1-2034417";"prazo_pub_licitacao_calc";"2025-09-19";""
"alterado";"derivados_tempo";"972263";"1-2034417";"status_regra_casa_civil_calc";"Não cumpriu";"Cumpriu"
"alterado";"derivados_tempo";"972263";"1-2034417";"prazo_homolog_licitacao_calc";"2025-12-02";"2026-06-01"
"alterado";"derivados_tempo";"972263";"1-2034417";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972263";"1-2034417";"status_homolog_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"972272";"1-2035942";"prazo_homolog_licitacao_calc";"2023-11-18";"2026-06-01"
"alterado";"derivados_tempo";"972272";"1-2035942";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972549";"1-2015928";"prazo_pub_licitacao_calc";"2026-02-07";""
"alterado";"derivados_tempo";"972549";"1-2015928";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972549";"1-2015928";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"972550";"1-2019364";"prazo_pub_licitacao_calc";"2026-02-05";""
"alterado";"derivados_tempo";"972550";"1-2019364";"prazo_homolog_licitacao_calc";"2026-03-19";"2026-06-01"
"alterado";"derivados_tempo";"972550";"1-2019364";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972550";"1-2019364";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"972551";"1-2015500";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"972552";"1-2018883";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973213";"1-2016915";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973214";"1-2016913";"prazo_pub_licitacao_calc";"2026-01-13";""
"alterado";"derivados_tempo";"973214";"1-2016913";"prazo_homolog_licitacao_calc";"2026-05-29";"2026-06-01"
"alterado";"derivados_tempo";"973214";"1-2016913";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"973214";"1-2016913";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973215";"1-2021870";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973216";"1-2022310";"prazo_pub_licitacao_calc";"2026-03-26";""
"alterado";"derivados_tempo";"973216";"1-2022310";"prazo_homolog_licitacao_calc";"2026-05-29";"2026-06-01"
"alterado";"derivados_tempo";"973216";"1-2022310";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973216";"1-2022310";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973217";"1-2017680";"prazo_pub_licitacao_calc";"2026-03-27";""
"alterado";"derivados_tempo";"973217";"1-2017680";"prazo_homolog_licitacao_calc";"2026-06-03";"2026-06-01"
"alterado";"derivados_tempo";"973217";"1-2017680";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973217";"1-2017680";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973218";"1-2035467";"prazo_pub_licitacao_calc";"2026-07-23";""
"alterado";"derivados_tempo";"973218";"1-2035467";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973218";"1-2035467";"status_pub_licitacao_calc";"No prazo";""
"alterado";"derivados_tempo";"973219";"1-2016165";"prazo_homolog_licitacao_calc";"2025-08-28";"2026-06-01"
"alterado";"derivados_tempo";"973219";"1-2016165";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973220";"1-2036747";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973221";"1-2018110";"prazo_pub_licitacao_calc";"2026-04-09";""
"alterado";"derivados_tempo";"973221";"1-2018110";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973221";"1-2018110";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"973222";"1-2018133";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973930";"1-2015053";"prazo_pub_licitacao_calc";"2026-03-30";""
"alterado";"derivados_tempo";"973930";"1-2015053";"prazo_homolog_licitacao_calc";"2026-06-03";"2026-06-01"
"alterado";"derivados_tempo";"973930";"1-2015053";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973930";"1-2015053";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973931";"1-2032976";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973932";"1-2032974";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973933";"1-2033167";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973934";"1-2033408";"prazo_pub_licitacao_calc";"2026-03-21";""
"alterado";"derivados_tempo";"973934";"1-2033408";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973934";"1-2033408";"status_pub_licitacao_calc";"Vencida";""
"alterado";"derivados_tempo";"973935";"1-2033135";"prazo_pub_licitacao_calc";"2026-02-20";""
"alterado";"derivados_tempo";"973935";"1-2033135";"prazo_homolog_licitacao_calc";"2026-06-02";"2026-06-01"
"alterado";"derivados_tempo";"973935";"1-2033135";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973935";"1-2033135";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973936";"1-2033246";"prazo_pub_licitacao_calc";"2026-05-14";""
"alterado";"derivados_tempo";"973936";"1-2033246";"prazo_homolog_licitacao_calc";"2026-07-14";"2026-06-01"
"alterado";"derivados_tempo";"973936";"1-2033246";"status_pub_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973936";"1-2033246";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973937";"1-2031497";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973938";"1-2033398";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973939";"1-2032943";"prazo_pub_licitacao_calc";"2026-04-29";""
"alterado";"derivados_tempo";"973939";"1-2032943";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973939";"1-2032943";"status_pub_licitacao_calc";"Próximos 30 dias";""
"alterado";"derivados_tempo";"973942";"1-2030756";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973943";"1-2033475";"prazo_homolog_licitacao_calc";"";"2026-06-01"
"alterado";"derivados_tempo";"973944";"1-2033541";"prazo_pub_licitacao_calc";"2025-12-31";""
"alterado";"derivados_tempo";"973944";"1-2033541";"prazo_homolog_licitacao_calc";"2026-05-15";"2026-06-01"
"alterado";"derivados_tempo";"973944";"1-2033541";"status_pub_licitacao_calc";"Concluída em atraso";""
"alterado";"derivados_tempo";"973944";"1-2033541";"status_homolog_licitacao_calc";"Concluída no prazo";""
"alterado";"derivados_tempo";"973945";"1-2031032";"prazo_homolog_licitacao_calc";"2025-06-10";"2026-06-01"
