"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964472";"1-1990220";"dte_vrpl_tdb";"";"2026-01-08"
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964472";"1-1990220";"dias_homologacao_ate_vrpl_calc";"";"56"
"alterado";"dados";"dados_origem";"964474";"1-1985807";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"964474";"1-1985807";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"964495";"1-1991760";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"964495";"1-1991760";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Analisada com pendências"
"alterado";"dados_e_derivados";"dados_origem";"964502";"1-1985038";"dte_publicacao_licitacao_tgov";"2026-02-03";""
"alterado";"dados_e_derivados";"dados_origem";"964502";"1-1985038";"dte_homologacao_licitacao_tgov";"2026-03-20";""
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"flag_publicacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"flag_homologacao_licitacao_calc";"SIM";"NAO"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"ultima_data_relevante_calc";"2026-03-20";"2025-11-28"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"fase_atual_calc";"HOMOLOGACAO";"LAE"
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"dias_ate_publicacao_calc";"67";""
"alterado";"dados_e_derivados";"derivado_regra";"964502";"1-1985038";"dias_publicacao_ate_homologacao_calc";"45";""
"alterado";"dados";"dados_origem";"964515";"1-1991475";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"964515";"1-1991475";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"964522";"1-1990325";"dte_vrpl_tdb";"";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"ultima_data_relevante_calc";"2026-04-07";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"dias_homologacao_ate_vrpl_calc";"";"3"
"alterado";"dados_e_derivados";"dados_origem";"964936";"1-1991620";"dte_primeira_data_lae_tdb";"";"2026-04-24"
"alterado";"dados_e_derivados";"derivado_regra";"964936";"1-1991620";"ultima_data_relevante_calc";"2024-08-22";"2026-04-24"
"alterado";"dados_e_derivados";"derivado_regra";"964936";"1-1991620";"dias_ate_publicacao_calc";"";"-640"
"alterado";"dados_e_derivados";"dados_origem";"964938";"1-1989254";"dte_vrpl_tdb";"";"2025-08-21"
"alterado";"dados_e_derivados";"derivado_regra";"964938";"1-1989254";"fase_atual_calc";"HOMOLOGACAO";"VRPL"
"alterado";"dados_e_derivados";"derivado_regra";"964938";"1-1989254";"dias_homologacao_ate_vrpl_calc";"";"64"
"alterado";"dados_e_derivados";"dados_origem";"964939";"1-1991759";"dte_vrpl_tdb";"";"2025-12-19"
"alterado";"dados_e_derivados";"derivado_regra";"964939";"1-1991759";"fase_atual_calc";"LAE";"VRPL"
"alterado";"dados_e_derivados";"dados_origem";"964940";"1-1986076";"dte_vrpl_tdb";"";"2025-11-14"
"alterado";"dados_e_derivados";"derivado_regra";"964940";"1-1986076";"fase_atual_calc";"PUBLICACAO LICITACAO";"VRPL"
"alterado";"dados";"dados_origem";"964941";"1-1991547";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"964941";"1-1991547";"situacao_da_analise_suspensiva_dmp";"Análise não iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"964944";"1-1991882";"situacao_da_analise_suspensiva_pbi";"Analisada com pendências";"Análise iniciada"
"alterado";"dados";"dados_origem";"964944";"1-1991882";"situacao_da_analise_suspensiva_dmp";"Analisada com pendências";"Análise iniciada"
"alterado";"dados_e_derivados";"dados_origem";"964947";"1-1987195";"dte_vrpl_tdb";"";"2026-03-20"
