"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"entrou";"novo_registro";"novo_registro";"995346";"1-2105564";"vlr_repasse_tci";"";"2500000.0"
"entrou";"novo_registro";"novo_registro";"995347";"1-2106723";"vlr_repasse_tci";"";"2300000.0"
"alterado";"dados";"dados_origem";"964474";"1-1985807";"vencimento_da_suspensiva_pbi";"2026-04-28";"2026-04-29"
"alterado";"dados";"dados_origem";"964515";"1-1991475";"vencimento_da_suspensiva_pbi";"2026-04-28";"2026-04-29"
"alterado";"dados_e_derivados";"dados_origem";"964516";"1-1990918";"dte_retirada_suspensiva_tgov";"";"2026-03-02"
"alterado";"dados_e_derivados";"dados_origem";"964516";"1-1990918";"dte_publicacao_licitacao_tgov";"";"2025-08-13"
"alterado";"dados_e_derivados";"dados_origem";"964516";"1-1990918";"dte_homologacao_licitacao_tgov";"";"2025-10-31"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"dias_ate_publicacao_calc";"";"-201"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"dias_publicacao_ate_homologacao_calc";"";"79"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"dias_homologacao_ate_vrpl_calc";"";"137"
"alterado";"dados_e_derivados";"derivado_tempo";"964516";"1-1990918";"urgencia_suspensiva_calc";"Vencida";""
"alterado";"dados_e_derivados";"dados_origem";"964722";"1-1984323";"dte_inicio_obra_mcid_tci";"2026-03-25";"2026-03-03"
"alterado";"dados_e_derivados";"derivado_regra";"964722";"1-1984323";"dias_aio_ate_inicio_obra_calc";"0";"-22"
"alterado";"dados_e_derivados";"dados_origem";"964941";"1-1991547";"dte_publicacao_licitacao_tgov";"";"2024-12-03"
"alterado";"dados_e_derivados";"dados_origem";"964941";"1-1991547";"dte_homologacao_licitacao_tgov";"";"2026-02-09"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"ultima_data_relevante_calc";"";"2026-02-09"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"fase_atual_calc";"SUSPENSIVA";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"dias_publicacao_ate_homologacao_calc";"";"433"
