"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964465";"1-1982724";"dte_inicio_obra_mcid_tci";"";"2026-04-13"
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964465";"1-1982724";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"964516";"1-1990918";"dte_inicio_obra_mcid_tci";"";"2026-04-13"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964516";"1-1990918";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964516";"1-1990918";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados";"dados_origem";"964517";"1-1986047";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964941";"1-1991547";"dte_publicacao_licitacao_tgov";"";"2024-12-03"
"alterado";"dados_e_derivados";"dados_origem";"964941";"1-1991547";"dte_homologacao_licitacao_tgov";"";"2026-02-09"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"flag_publicacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"ultima_data_relevante_calc";"";"2026-02-09"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"fase_atual_calc";"SUSPENSIVA";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964941";"1-1991547";"dias_publicacao_ate_homologacao_calc";"";"433"
"alterado";"dados_e_derivados";"derivado_tempo";"964941";"1-1991547";"prazo_homolog_licitacao_calc";"";"2025-04-02"
"alterado";"dados_e_derivados";"derivado_tempo";"964941";"1-1991547";"status_homolog_licitacao_calc";"";"Concluída em atraso"
"alterado";"dados";"dados_origem";"964964";"1-1990437";"vencimento_da_suspensiva_pbi";"2026-04-28";"2026-04-29"
"alterado";"dados_e_derivados";"dados_origem";"964983";"1-1982754";"dte_inicio_obra_mcid_tci";"";"2026-04-10"
"alterado";"dados_e_derivados";"derivado_regra";"964983";"1-1982754";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"964983";"1-1982754";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"964983";"1-1982754";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
"alterado";"dados_e_derivados";"dados_origem";"965242";"1-1996024";"dte_inicio_obra_mcid_tci";"";"2026-04-09"
"alterado";"dados_e_derivados";"derivado_regra";"965242";"1-1996024";"fase_atual_calc";"AIO";"OBRA INICIADA"
"alterado";"dados_e_derivados";"derivado_regra";"965242";"1-1996024";"dias_aio_ate_inicio_obra_calc";"";"0"
"alterado";"dados_e_derivados";"derivado_tempo";"965242";"1-1996024";"status_inicio_obra_calc";"Próximos 10 dias úteis";"Iniciada no prazo"
