"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"alterado";"dados_e_derivados";"dados_origem";"964522";"1-1990325";"dte_homologacao_licitacao_tgov";"";"2026-04-07"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"flag_homologacao_licitacao_calc";"NAO";"SIM"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"ultima_data_relevante_calc";"2025-12-18";"2026-04-07"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"fase_atual_calc";"PUBLICACAO LICITACAO";"HOMOLOGACAO"
"alterado";"dados_e_derivados";"derivado_regra";"964522";"1-1990325";"dias_publicacao_ate_homologacao_calc";"";"110"
"alterado";"dados_e_derivados";"derivado_tempo";"964522";"1-1990325";"status_homolog_licitacao_calc";"Próximos 30 dias";"Concluída no prazo"
"alterado";"dados";"dados_origem";"964937";"1-1991211";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"alterado";"dados";"dados_origem";"964942";"1-1990694";"situacao_da_analise_suspensiva_pbi";"Análise iniciada";"Analisada com pendências"
"alterado";"dados_e_derivados";"dados_origem";"964981";"1-1986117";"dsc_situacao_contrato_mcid_tci";"Contratado - Suspensiva";"Contratado - Normal"
"alterado";"dados_e_derivados";"dados_origem";"964981";"1-1986117";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada e aceita"
"alterado";"dados_e_derivados";"dados_origem";"964981";"1-1986117";"dte_retirada_suspensiva_tgov";"";"2026-04-07"
"alterado";"dados_e_derivados";"dados_origem";"964981";"1-1986117";"dte_primeira_data_lae_tdb";"";"2026-04-07"
"alterado";"dados_e_derivados";"derivado_regra";"964981";"1-1986117";"status_suspensiva_calc";"PENDENTE";"RETIRADA"
"alterado";"dados_e_derivados";"derivado_regra";"964981";"1-1986117";"ultima_data_relevante_calc";"";"2026-04-07"
"alterado";"dados_e_derivados";"derivado_regra";"964981";"1-1986117";"fase_atual_calc";"SUSPENSIVA";"LAE"
"alterado";"dados_e_derivados";"derivado_tempo";"964981";"1-1986117";"prazo_pub_licitacao_calc";"";"2026-08-05"
"alterado";"dados_e_derivados";"derivado_tempo";"964981";"1-1986117";"status_pub_licitacao_calc";"";"No prazo"
"alterado";"dados_e_derivados";"derivado_tempo";"964981";"1-1986117";"urgencia_suspensiva_calc";"Próximos 30 dias";""
"alterado";"dados";"dados_origem";"965407";"1-1986134";"situacao_da_analise_suspensiva_pbi";"Análise não iniciada";"Analisada com pendências"
