"tipo_alteracao";"categoria_alteracao";"natureza_campo";"num_convenio";"cod_tci";"campo";"valor_anterior";"valor_atual"
"saiu";"registro_removido";"registro_removido";"6-54363";"6-54363";"vlr_repasse_tci";"0.0";""
"alterado";"dados_e_derivados";"dados_origem";"964465";"1-1982724";"dte_aio_tdb";"2026-04-13";""
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"dias_vrpl_ate_aio_calc";"0";""
"alterado";"dados_e_derivados";"derivado_regra";"964465";"1-1982724";"dias_aio_ate_inicio_obra_calc";"0";""
"alterado";"dados_e_derivados";"derivado_tempo";"964465";"1-1982724";"prazo_inicio_obra_calc";"2026-04-27";""
"alterado";"dados_e_derivados";"derivado_tempo";"964465";"1-1982724";"status_inicio_obra_calc";"Iniciada no prazo";""
"alterado";"dados_e_derivados";"dados_origem";"964485";"1-1984603";"dte_primeira_data_lae_tdb";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964485";"1-1984603";"ultima_data_relevante_calc";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964485";"1-1984603";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964495";"1-1991760";"dte_primeira_data_lae_tdb";"";"2026-04-28"
"alterado";"dados_e_derivados";"derivado_regra";"964495";"1-1991760";"ultima_data_relevante_calc";"";"2026-04-28"
"alterado";"dados_e_derivados";"derivado_regra";"964495";"1-1991760";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964499";"1-1990558";"dte_homologacao_licitacao_tgov";"2026-05-04";"2026-03-19"
"alterado";"dados_e_derivados";"derivado_regra";"964499";"1-1990558";"ultima_data_relevante_calc";"2026-05-04";"2026-03-19"
"alterado";"dados_e_derivados";"derivado_regra";"964499";"1-1990558";"dias_publicacao_ate_homologacao_calc";"103";"57"
"alterado";"dados_e_derivados";"dados_origem";"964504";"1-1991092";"dte_primeira_data_lae_tdb";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964504";"1-1991092";"ultima_data_relevante_calc";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964504";"1-1991092";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964507";"1-1990139";"dte_primeira_data_lae_tdb";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964507";"1-1990139";"ultima_data_relevante_calc";"";"2026-04-29"
"alterado";"dados_e_derivados";"derivado_regra";"964507";"1-1990139";"fase_atual_calc";"SUSPENSIVA RETIRADA";"LAE"
"alterado";"dados_e_derivados";"dados_origem";"964515";"1-1991475";"dte_primeira_data_lae_tdb";"";"2026-04-28"
